City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,saipan,15.1355,145.701,86.7,66,0,14.97,MP,1712878145
154,ta`u,-14.2336,-169.5144,84.16,78,5,10.29,AS,1712878145
155,marsh harbour,26.5412,-77.0636,75.92,84,100,21.32,BS,1712878145
156,horta,38.5333,-28.6333,60.03,93,94,5.01,PT,1712878145
157,mugia,43.1041,-9.2179,57.9,72,100,4.92,ES,1712878145
158,bethel,41.3712,-73.414,59.36,90,100,5.75,US,1712878145
159,west island,-12.1568,96.8225,80.58,78,40,8.05,CC,1712878145
160,college,64.8569,-147.8028,45.07,42,75,11.5,US,1712878145
161,port alfred,-33.5906,26.891,58.17,82,24,5.99,ZA,1712878146
162,georgetown,5.4112,100.3354,81.95,83,20,1.14,MY,1712878146
163,pagar alam,-4.0167,103.2667,68.94,98,92,1.63,ID,1712877889
164,dryden,49.7833,-92.7503,48.49,61,75,5.75,CA,1712878146
165,ushtobe,45.2514,77.9838,43.83,81,100,20.0,KZ,1712878146
166,ghanzi,-21.5667,21.7833,66.13,36,47,7.76,BW,1712878146
167,newquay,50.4132,-5.0819,52.23,93,20,12.66,GB,1712878146
168,magadan,59.5667,150.8,24.53,85,32,3.33,RU,1712878146
169,tromso,69.6496,18.957,33.82,93,100,5.75,NO,1712878028
170,luchegorsk,46.4764,134.2569,50.52,73,7,5.99,RU,1712878147
171,kharp,66.8014,65.8081,19.71,96,100,6.69,RU,1712878147
172,cifteler,39.3831,31.0392,49.59,87,12,7.14,TR,1712878147
173,chilliwack,49.1747,-121.9443,49.19,92,100,3.0,CA,1712877933
174,agadez,19.75,10.25,82.51,10,64,9.71,NE,1712878147
175,tofol,5.3248,163.0078,82.18,83,100,10.36,FM,1712878147
176,saint-philippe,-21.3585,55.7679,76.59,86,54,4.83,RE,1712878147
177,atafu village,-8.5421,-172.5159,85.21,76,42,8.25,TK,1712877977
178,aasiaat,68.7098,-52.8699,19.83,93,99,4.83,GL,1712878148
179,bilibino,68.0546,166.4372,10.4,81,100,3.15,RU,1712878148
180,ambilobe,-13.2,49.05,75.16,96,21,3.0,MG,1712878148
181,egilsstadir,65.2653,-14.3948,31.91,100,75,8.05,IS,1712878148
182,mount pearl,47.5166,-52.7813,36.32,80,0,11.5,CA,1712878149
183,kiunga,-6.1219,141.2906,74.01,100,100,1.36,PG,1712878149
184,t'ongch'on-up,38.9539,127.8917,55.6,68,1,7.05,KP,1712878149
185,lucapa,-8.4192,20.7447,68.79,95,99,2.13,AO,1712878069
186,bouarfa,32.53,-1.95,52.21,31,1,18.63,MA,1712878149
187,tsiombe,-25.3,45.4833,68.11,88,95,4.61,MG,1712878149
188,puerto madryn,-42.7692,-65.0385,56.35,55,100,13.98,AR,1712878123
189,kenai,60.5544,-151.2583,37.49,97,100,4.61,US,1712878149
190,el nido,11.1858,119.3956,81.68,75,68,7.7,PH,1712878150
191,newman,37.3138,-121.0208,86.29,47,20,3.0,US,1712878150
192,camana,-16.6228,-72.7111,70.47,87,63,6.35,PE,1712878150
193,iskitim,54.6366,83.3045,22.26,78,92,8.93,RU,1712878150
194,gadzhiyevo,69.2551,33.3362,31.23,91,100,25.26,RU,1712878150
195,herval,-32.0236,-53.3956,58.73,72,39,9.93,BR,1712878150
196,guangyuan,32.442,105.823,62.83,84,86,1.5,CN,1712878151
197,salinas,36.6777,-121.6555,85.57,66,0,9.22,US,1712877884
198,anadyr,64.75,177.4833,9.1,78,0,6.71,RU,1712878151
199,nanao,37.05,136.9667,62.8,61,97,2.8,JP,1712878151
200,khagrachhari,23.1,91.9667,77.58,27,100,1.86,BD,1712878151
201,chonchi,-42.6128,-73.8092,52.81,78,0,1.25,CL,1712878151
202,sao joao da barra,-21.6403,-41.0511,77.09,83,8,6.04,BR,1712877908
203,kone,-21.0595,164.8658,73.72,87,100,0.02,NC,1712878152
204,papao,-17.75,-149.55,87.48,85,90,18.37,PF,1712878152
205,colonia general alfredo stroessner,-25.3667,-55.7,72.05,98,100,3.27,PY,1712878152
206,aral,40.5156,81.2636,62.96,96,8,7.43,CN,1712878152
207,kuanda,56.3161,116.0806,25.84,87,51,0.92,RU,1712878152
208,america dourada,-11.4553,-41.4361,70.95,91,92,6.13,BR,1712878153
209,iqaluit,63.7506,-68.5145,26.33,73,75,3.44,CA,1712878153
210,haiku-pauwela,20.9219,-156.3051,82.42,70,20,11.5,US,1712878153
211,hermanus,-34.4187,19.2345,56.8,73,28,16.62,ZA,1712878153
212,watampone,-4.5386,120.3279,75.96,95,100,4.23,ID,1712878153
213,broome,42.2506,-75.833,63.9,87,100,13.8,US,1712878153
214,ambatofinandrahana,-20.55,46.8,61.59,95,61,1.97,MG,1712878153
215,petukhovo,55.0692,67.9019,34.09,83,81,12.15,RU,1712878153
216,imbituba,-28.24,-48.6703,69.42,90,100,10.04,BR,1712878096
217,beni,0.5,29.4667,64.0,97,89,2.71,CD,1712878154
218,tabou,4.423,-7.3528,79.93,81,100,4.5,CI,1712878154
219,caleta de carquin,-11.0925,-77.6267,73.04,79,57,10.63,PE,1712877911
220,port augusta,-32.5,137.7667,61.38,60,99,5.08,AU,1712878154
221,selfoss,63.9331,-20.9971,37.04,98,100,6.49,IS,1712878154
222,longboat key,27.4125,-82.659,76.06,81,0,14.97,US,1712877662
223,babadag,44.9,28.7167,62.82,72,40,12.66,RO,1712878155
224,monticello,45.3055,-93.7941,57.9,52,0,19.57,US,1712877939
225,guane,22.2025,-84.0875,83.95,63,100,9.1,CU,1712878155
226,novosergiyevka,52.0934,53.6528,48.0,72,95,11.36,RU,1712878155
227,presidente medici,-11.1753,-61.9014,78.1,92,74,0.96,BR,1712878155
228,monte caseros,-30.2536,-57.6363,65.91,70,100,14.74,AR,1712878155
229,la gi,10.6667,107.7833,76.77,85,71,10.51,VN,1712878155
230,bella union,-30.2752,-57.6007,65.93,70,100,15.01,UY,1712878155
231,calvinia,-31.4707,19.776,54.48,42,4,9.15,ZA,1712878156
232,mount gambier,-37.8333,140.7667,56.55,62,100,3.6,AU,1712878156
233,talnakh,69.4865,88.3972,-21.8,97,95,8.75,RU,1712878156
234,waingapu,-9.6567,120.2641,77.52,82,69,7.4,ID,1712878156
235,fuling,29.7022,107.3919,62.06,92,83,2.06,CN,1712878156
236,yamada,39.4667,141.95,52.68,77,100,5.75,JP,1712878156
237,sinop,41.7711,34.8709,49.28,90,41,2.91,TR,1712878157
238,saldanha,-33.0117,17.9442,62.65,60,7,12.03,ZA,1712878157
239,moyale,3.5167,39.0584,70.65,80,35,4.36,KE,1712878157
240,tufanbeyli,38.2633,36.2206,46.42,83,84,3.67,TR,1712878157
241,leua,48.2156,18.6071,56.5,80,90,3.29,SK,1712878157
242,ponce,18.073,-66.6185,80.6,78,74,5.37,PR,1712878121
243,rio gallegos,-51.6226,-69.2181,48.25,46,20,16.11,AR,1712878047
244,new norfolk,-42.7826,147.0587,58.71,82,91,2.44,AU,1712878157
245,lumut,4.2323,100.6298,77.02,94,20,0.0,MY,1712878158
246,igarka,67.4667,86.5833,-24.99,100,55,1.99,RU,1712878158
247,shache,38.4167,77.2406,65.71,19,61,2.46,CN,1712878158
248,rikaze,29.25,88.8833,30.6,41,11,3.02,CN,1712878158
249,tommot,58.9564,126.2925,33.69,98,100,4.9,RU,1712878158
250,san antonio de pale,-1.4014,5.6325,81.75,77,100,5.66,GQ,1712878158
251,edmundston,47.3737,-68.3251,44.83,62,100,14.97,CA,1712878158
252,peace river,56.2501,-117.286,57.51,26,75,0.0,CA,1712877996
253,grande prairie,55.1667,-118.8027,57.38,24,100,11.5,CA,1712878159
254,kerikeri,-35.2268,173.9474,71.91,80,48,6.98,NZ,1712878159
255,kalmunai,7.4167,81.8167,81.16,82,93,4.5,LK,1712878159
256,lebu,-37.6167,-73.65,52.88,89,1,5.3,CL,1712878159
257,monterey,36.2505,-121.2516,80.19,27,0,1.99,US,1712878159
258,mhamid,29.82,-5.72,74.12,7,3,5.84,MA,1712878160
259,constantia,44.1833,28.65,61.7,59,26,6.91,RO,1712878105
260,chistopol',55.3631,50.6424,45.03,87,73,7.61,RU,1712878160
261,una,20.8167,71.0333,74.95,76,13,6.69,IN,1712878160
262,karimpur,23.9667,88.6167,82.26,39,100,2.01,IN,1712878160
263,san luis de la loma,17.2706,-100.8939,82.65,62,4,5.41,MX,1712878160
264,undurkhaan,47.3194,110.6556,43.41,54,42,8.84,MN,1712878160
265,ngara,-2.5122,30.6558,57.42,97,68,1.66,TZ,1712878160
266,meulaboh,4.1363,96.1285,78.1,89,93,3.42,ID,1712878161
267,amahai,-3.3333,128.9167,80.38,79,93,3.38,ID,1712878161
268,port lincoln,-34.7333,135.8667,58.87,61,100,8.21,AU,1712878161
269,acarau,-2.8856,-40.12,79.97,86,98,7.65,BR,1712878161
270,port elizabeth,-33.918,25.5701,58.1,79,20,8.05,ZA,1712878161
271,la ronge,55.1001,-105.2842,41.25,60,20,11.5,CA,1712878161
272,qaqortoq,60.7167,-46.0333,19.27,89,52,2.71,GL,1712878161
273,puerto penasco,31.3167,-113.5333,91.38,56,0,11.5,MX,1712878162
274,winnemucca,40.973,-117.7357,75.25,20,20,11.5,US,1712878162
275,sapulpa,35.9987,-96.1142,67.98,26,0,9.22,US,1712878162
276,afif,23.9065,42.9172,71.65,21,27,4.21,SA,1712878162
277,sinabang,2.4803,96.3801,79.74,84,100,3.13,ID,1712878162
278,kamaishi,39.2667,141.8833,52.66,80,100,5.41,JP,1712878162
279,glace bay,46.1969,-59.957,39.88,85,20,9.22,CA,1712878162
280,jambi city,-1.6,103.6167,74.14,99,96,2.44,ID,1712878163
281,bandarbeyla,9.4942,50.8122,81.82,86,35,4.92,SO,1712878074
282,saudarkrokur,65.7461,-19.6394,32.86,99,99,6.53,IS,1712878163
283,pemba,-12.974,40.5178,84.9,84,40,3.44,MZ,1712878163
284,ranot,7.7777,100.3213,83.61,75,98,12.8,TH,1712878163
285,tanjung pandan,-2.75,107.65,78.44,86,93,3.06,ID,1712878163
286,haimen,23.1935,116.6142,69.69,83,4,1.79,CN,1712878163
287,alenquer,-1.9417,-54.7383,79.39,91,89,2.3,BR,1712878164
288,puerto princesa,9.7392,118.7353,80.58,89,20,6.91,PH,1712878164
289,inhambane,-23.865,35.3833,71.71,68,99,12.46,MZ,1712877967
290,kingston,17.997,-76.7936,85.15,75,20,19.57,JM,1712878100
291,luderitz,-26.6481,15.1594,71.53,46,0,4.68,NA,1712878164
292,alofi,-19.0595,-169.9187,84.09,74,100,8.05,NU,1712878164
293,buncrana,55.1333,-7.45,53.82,95,100,11.36,IE,1712878164
294,miches,18.9836,-69.0476,77.49,82,60,12.82,DO,1712878165
295,rawai,7.7797,98.3253,78.91,75,28,18.07,TH,1712878165
